Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship,Job_Role
S364,21.0,Female,3.7,1460.0,8.75,Psychology,3,7.0,3,8.0,7.0,3.0,90000.0,8.0,2.0,Mid,7.0,No,
,,,,,8.53,Mathematics (M.Sc),2,,Google Analytics,,,,,,,,,,Senior Researcher
,,,,,7.1,Agriculture (M.Sc),0,,,,,,,,,,,,Clinical Psychologist
,,,,,8.37,Hindi,0,,Python,,,,,,,,,,Psychologist
,,,,,6.27,Biotechnology (Masters),2,,AWS,,,,,,,,,,Robotics System Architect
S259,21.0,Male,3.6,1360.0,8.5,Law,2,5.0,2,8.0,7.0,2.0,82000.0,7.0,3.0,Mid,6.0,No,
,,,,,7.15,Information Technology (M.Sc),2,,CPA,,,,,,,,,,Clinical Psychologist
S172,24.0,Female,3.7,1440.0,8.75,Engineering,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,Mid,7.0,No,
,,,,,9.83,Geography,0,,AWS,,,,,,,,,,Content Writer
,,,,,6.74,Computer Science (M.Sc),2,,CFA,,,,,,,,,,Clinical Psychologist
,,,,,7.48,Retail Management,2,,Python,,,,,,,,,,Aviation Operations Manager
,,,,,7.77,Financial Markets,2,,Scrum Master,,,,,,,,,,Financial Auditor
,,,,,6.53,Electronics & Communication Engineering,0,,Java,,,,,,,,,,Control Systems Engineer
,,,,,6.13,Data Science (M.Sc),1,,CPA,,,,,,,,,,Statistician
,,,,,7.88,Psychology (M.Sc),1,,Photoshop,,,,,,,,,,Data Engineer
,,,,,7.35,Hospitality Management,1,,Photoshop,,,,,,,,,,Aviation Operations Manager
,,,,,8.76,Hospitality Management,1,,Python,,,,,,,,,,Hotel Manager
,,,,,9.99,Human Resource Management,2,,CFA,,,,,,,,,,Business Analyst
,,,,,9.73,Microbiology (M.Sc),1,,PMP,,,,,,,,,,Senior Researcher
,,,,,8.97,Computer Applications,2,,,,,,,,,,,,Chartered Accountant
S155,25.0,Male,3.8,1480.0,9.25,Engineering,4,8.0,4,9.0,8.0,4.0,116000.0,9.0,2.0,Mid,6.0,No,
,,,,,6.16,Fashion Design,1,,React,,,,,,,,,,Interior Architect
,,,,,9.36,Mechatronics Engineering,0,,CPA,,,,,,,,,,Robotics Engineer
,,,,,7.4,Physics,2,,AWS,,,,,,,,,,Data Analyst
,,,,,7.07,Banking & Insurance,1,,Photoshop,,,,,,,,,,Tax Consultant
,,,,,8.15,Computer Science Engineering (Masters),0,,AutoCAD,,,,,,,,,,Senior Data Scientist
,,,,,6.74,Environmental Science,2,,Six Sigma,,,,,,,,,,Dietician
,,,,,7.45,Business Analytics,0,,CFA,,,,,,,,,,HR Generalist
,,,,,9.57,Artificial Intelligence (M.Sc),2,,Six Sigma,,,,,,,,,,Senior Researcher
,,,,,8.01,Psychology (M.Sc),2,,,,,,,,,,,,Data Engineer
,,,,,8.1,Auditing,0,,Java,,,,,,,,,,Financial Auditor
,,,,,6.67,Communication Design,0,,CFA,,,,,,,,,,Fashion Stylist
,,,,,9.19,Product Design,1,,Six Sigma,,,,,,,,,,UI/UX Designer
,,,,,7.48,Digital Marketing,0,,,,,,,,,,,,HR Generalist
,,,,,7.57,Textile Engineering,0,,CPA,,,,,,,,,,Biomedical Engineer
,,,,,7.85,Operations Management,0,,CPA,,,,,,,,,,Marketing Executive
,,,,,9.99,Economics,2,,CPA,,,,,,,,,,Chartered Accountant
,,,,,9.8,Thermal Engineering,1,,React,,,,,,,,,,R&D Engineer
S257,24.0,Male,3.3,1200.0,7.5,Arts,1,3.0,1,6.0,5.0,1.0,50000.0,6.0,5.0,Entry,8.0,No,
,,,,,6.7,Computer Science (M.Sc),0,,Python,,,,,,,,,,Clinical Psychologist
,,,,,8.99,Food Science & Nutrition,1,,Google Analytics,,,,,,,,,,Senior Researcher
,,,,,9.53,Marketing,2,,AWS,,,,,,,,,,Business Analyst
,,,,,6.42,Industrial Design,2,,React,,,,,,,,,,Interior Architect
,,,,,9.11,Jewellery Design,2,,C++,,,,,,,,,,UI/UX Designer
,,,,,8.52,Thermal Engineering,1,,PMP,,,,,,,,,,R&D Engineer
,,,,,6.2,Jewellery Design,2,,,,,,,,,,,,Interior Architect
,,,,,6.9,Logistics & Supply Chain,1,,Photoshop,,,,,,,,,,HR Generalist
,,,,,6.43,Embedded Systems,1,,Google Analytics,,,,,,,,,,Robotics System Architect
,,,,,8.59,Production Engineering,2,,AutoCAD,,,,,,,,,,Project Manager
,,,,,9.72,Metallurgical Engineering,1,,Scrum Master,,,,,,,,,,Project Manager
,,,,,6.12,Philosophy,0,,Photoshop,,,,,,,,,,Social Worker
,,,,,8.54,Political Science,0,,Python,,,,,,,,,,Content Writer
,,,,,7.34,Forensic Science,1,,Six Sigma,,,,,,,,,,Data Analyst
,,,,,8.04,Manufacturing Engineering,2,,,,,,,,,,,,Senior Data Scientist
,,,,,9.21,Textile Engineering,1,,CPA,,,,,,,,,,Robotics Engineer
,,,,,8.75,Business Analytics (Advanced),1,,CFA,,,,,,,,,,Investment Banker
,,,,,8.83,Forensic Science,1,,React,,,,,,,,,,Software Developer
,,,,,9.82,Jewellery Design,2,,Photoshop,,,,,,,,,,UI/UX Designer
,,,,,6.58,Computer Science Engineering,2,,AWS,,,,,,,,,,Full Stack Developer
S260,25.0,Female,3.7,1420.0,8.75,Psychology,3,7.0,3,8.0,7.0,3.0,86000.0,8.0,2.0,Mid,7.0,No,
,,,,,6.7,Philosophy,2,,Six Sigma,,,,,,,,,,Policy Analyst
,,,,,6.47,Food Technology,0,,AWS,,,,,,,,,,Food Safety Officer
,,,,,8.9,Physics,1,,C++,,,,,,,,,,Software Developer
,,,,,6.75,Journalism & Mass Communication,2,,C++,,,,,,,,,,Art Director
,,,,,7.51,Business Analytics,2,,Scrum Master,,,,,,,,,,Marketing Executive
,,,,,8.25,International Business,0,,Photoshop,,,,,,,,,,Financial Auditor
,,,,,6.15,Information Technology (M.Sc),1,,Java,,,,,,,,,,Statistician
,,,,,7.61,Agriculture (M.Sc),0,,Python,,,,,,,,,,Data Engineer
,,,,,6.54,Business Analytics,0,,React,,,,,,,,,,Tax Consultant
,,,,,7.71,Artificial Intelligence (M.Sc),2,,Scrum Master,,,,,,,,,,Data Engineer
,,,,,8.15,Embedded Systems,0,,CFA,,,,,,,,,,Senior Data Scientist
,,,,,8.53,Structural Engineering,2,,PMP,,,,,,,,,,R&D Engineer
,,,,,9.98,Environmental Science (M.Sc),0,,Python,,,,,,,,,,Senior Researcher
,,,,,8.09,Artificial Intelligence (Masters),0,,React,,,,,,,,,,Senior Data Scientist
,,,,,9.52,Robotics,0,,React,,,,,,,,,,R&D Engineer
,,,,,7.55,Statistics (M.Sc),1,,AutoCAD,,,,,,,,,,Data Engineer
,,,,,8.4,Retail Management,1,,AWS,,,,,,,,,,Retail Store Manager
,,,,,7.34,Digital Marketing (Advanced),0,,Python,,,,,,,,,,HR Director
,,,,,7.72,Aeronautical Engineering,0,,,,,,,,,,,,Biomedical Engineer
,,,,,8.32,Information Technology,1,,Six Sigma,,,,,,,,,,Data Scientist
S071,22.0,Male,3.4,1280.0,7.75,Business,1,5.0,1,7.0,6.0,1.0,56000.0,6.0,5.0,Entry,8.0,No,
,,,,,8.63,Statistics,2,,Java,,,,,,,,,,Software Developer
,,,,,6.12,Game Design,0,,CPA,,,,,,,,,,Interior Architect
,,,,,9.04,Electronics & Communication Engineering,2,,Photoshop,,,,,,,,,,VLSI Design Engineer
,,,,,6.71,Banking & Insurance,1,,Python,,,,,,,,,,Aviation Operations Manager
,,,,,6.21,Product Design,2,,CPA,,,,,,,,,,Interior Architect
,,,,,6.78,Taxation,1,,AWS,,,,,,,,,,Tax Consultant
,,,,,6.41,Mechanical Engineering ,0,,Google Analytics,,,,,,,,,,Site Supervisor
,,,,,9.45,Mathematics,1,,CPA,,,,,,,,,,Software Developer
,,,,,7.11,Nutrition & Dietetics,1,,Python,,,,,,,,,,Dietician
,,,,,9.17,Retail Management (Advanced),0,,React,,,,,,,,,,Supply Chain Manager
,,,,,6.97,Journalism & Mass Communication,0,,AWS,,,,,,,,,,Art Director
,,,,,9.85,AI & Machine Learning,1,,Photoshop,,,,,,,,,,AI Engineer
,,,,,6.23,Fashion Design,2,,Scrum Master,,,,,,,,,,Registered Nurse
,,,,,9.93,Biotechnology (Masters),2,,Java,,,,,,,,,,R&D Engineer
,,,,,7.64,Robotics,1,,AWS,,,,,,,,,,Senior Data Scientist
,,,,,7.62,Environmental Engineering (Masters),0,,Scrum Master,,,,,,,,,,Senior Data Scientist
,,,,,9.23,Philosophy,2,,Six Sigma,,,,,,,,,,Content Writer
,,,,,7.35,Mechatronics Engineering,2,,Scrum Master,,,,,,,,,,Automotive Design Engineer
S391,22.0,Male,3.4,1260.0,7.75,Law,1,4.0,1,7.0,6.0,1.0,54000.0,6.0,5.0,Entry,8.0,No,
,,,,,9.71,Automobile Engineering,1,,Photoshop,,,,,,,,,,Robotics Engineer
,,,,,9.76,Environmental Science (M.Sc),2,,AWS,,,,,,,,,,Senior Researcher
S330,25.0,Female,3.7,1420.0,8.75,Psychology,3,7.0,3,8.0,7.0,3.0,86000.0,8.0,2.0,Mid,7.0,No,
,,,,,8.55,AI & Machine Learning,2,,CPA,,,,,,,,,,AI Engineer
,,,,,8.59,Fashion Design,1,,CPA,,,,,,,,,,Clinical Research Associate
,,,,,6.48,Information Technology (Masters),2,,PMP,,,,,,,,,,Robotics System Architect
,,,,,6.43,Mechatronics Engineering,1,,Photoshop,,,,,,,,,,Food Safety Officer
,,,,,7.25,Biotechnology (Masters),0,,PMP,,,,,,,,,,VLSI Architect
,,,,,6.24,Information Technology,1,,Scrum Master,,,,,,,,,,Forensic Expert
,,,,,9.63,Metallurgical Engineering,0,,C++,,,,,,,,,,Project Manager
,,,,,8.72,Biomedical Engineering,1,,CPA,,,,,,,,,,Robotics Engineer
,,,,,8.38,Computer Science Engineering,1,,Python,,,,,,,,,,software Developer
,,,,,6.29,Human Resource (Advanced),1,,AWS,,,,,,,,,,Business Development Manager
S244,21.0,Female,3.5,1300.0,8.0,Marketing,2,5.0,2,7.0,6.0,2.0,64000.0,7.0,4.0,Mid,7.0,No,
,,,,,6.89,Travel & Tourism,2,,,,,,,,,,,,Aviation Operations Manager
,,,,,9.68,Microbiology (M.Sc),1,,Python,,,,,,,,,,Senior Researcher
,,,,,8.11,Power Systems,1,,AWS,,,,,,,,,,Senior Data Scientist
,,,,,6.8,Marine Engineering,0,,Google Analytics,,,,,,,,,,Automotive Design Engineer
,,,,,8.99,Artificial Intelligence (Masters),1,,Python,,,,,,,,,,R&D Engineer
,,,,,9.18,Business Analytics,0,,React,,,,,,,,,,Business Analyst
,,,,,8.26,Manufacturing Engineering,1,,AWS,,,,,,,,,,Senior Data Scientist
,,,,,7.19,Nutrition & Dietetics,2,,PMP,,,,,,,,,,Dietician
,,,,,9.28,Nursing,0,,Python,,,,,,,,,,Clinical Research Associate
,,,,,6.63,Mathematics (M.Sc),0,,Photoshop,,,,,,,,,,Clinical Psychologist
S079,21.0,Male,3.5,1340.0,8.5,Engineering,2,5.0,2,7.0,6.0,2.0,74000.0,7.0,3.0,Mid,6.0,No,
,,,,,8.41,Journalism & Mass Communication,0,,Six Sigma,,,,,,,,,,Public Relations Officer
,,,,,9.7,Thermal Engineering,1,,Java,,,,,,,,,,R&D Engineer
,,,,,6.56,Fashion Design,1,,Google Analytics,,,,,,,,,,Fashion Stylist
,,,,,7.4,Aeronautical Engineering,2,,Scrum Master,,,,,,,,,,Automotive Design Engineer
,,,,,8.67,Animation & Multimedia,1,,AutoCAD,,,,,,,,,,UI/UX Designer
,,,,,6.1,Computer Applications,0,,React,,,,,,,,,,Bank Officer
,,,,,8.73,Forensic Science (M.Sc),1,,Python,,,,,,,,,,Senior Researcher
,,,,,7.28,Physics,1,,Scrum Master,,,,,,,,,,Data Analyst
,,,,,6.52,Mechanical Design,2,,AWS,,,,,,,,,,VLSI Architect
,,,,,9.05,Environmental Science (M.Sc),1,,CPA,,,,,,,,,,Senior Researcher
,,,,,6.44,Food Science & Nutrition,0,,React,,,,,,,,,,Statistician
,,,,,8.79,Electrical & Electronics Engineering,1,,Google Analytics,,,,,,,,,,VLSI Design Engineer
,,,,,6.26,International Business,0,,,,,,,,,,,,Sales Manager
,,,,,8.18,Financial Markets,2,,CPA,,,,,,,,,,Financial Auditor
,,,,,9.76,Automobile Engineering,2,,CPA,,,,,,,,,,Robotics Engineer
,,,,,6.12,Hospitality & Tourism (Advanced),2,,,,,,,,,,,,Agri-Business Manager
,,,,,8.61,Environmental Engineering (Masters),0,,Scrum Master,,,,,,,,,,R&D Engineer
,,,,,8.08,Nutrition & Dietetics,0,,Java,,,,,,,,,,Microbiologist
,,,,,6.69,AI & Machine Learning,2,,Python,,,,,,,,,,Full Stack Developer
,,,,,8.72,Business Analytics,0,,,,,,,,,,,,Chartered Accountant
,,,,,7.69,Retail Management,2,,AutoCAD,,,,,,,,,,Retail Store Manager
,,,,,9.47,Healthcare Management (Advanced),2,,React,,,,,,,,,,Supply Chain Manager
,,,,,7.56,Industrial Design,0,,Java,,,,,,,,,,Product Designer
,,,,,8.13,Mechatronics Engineering,0,,PMP,,,,,,,,,,Biomedical Engineer
,,,,,7.61,Embedded Systems,0,,Six Sigma,,,,,,,,,,Senior Data Scientist
,,,,,6.08,Biotechnology (M.Sc),2,,Photoshop,,,,,,,,,,Statistician
,,,,,9.42,Political Science,0,,C++,,,,,,,,,,Content Writer
,,,,,7.15,Hospitality Management,0,,Scrum Master,,,,,,,,,,Aviation Operations Manager
,,,,,6.49,Aerospace Engineering,2,,AWS,,,,,,,,,,Food Safety Officer
,,,,,6.51,Economics,0,,Scrum Master,,,,,,,,,,Policy Analyst
,,,,,9.84,Petroleum Engineering,2,,C++,,,,,,,,,,Robotics Engineer
,,,,,9.67,Business Analytics,2,,CFA,,,,,,,,,,Chartered Accountant
S007,24.0,Male,3.2,1180.0,7.25,Arts,0,2.0,0,6.0,4.0,0.0,35000.0,5.0,5.0,Entry,7.0,No,
,,,,,9.79,Digital Marketing (Advanced),2,,Scrum Master,,,,,,,,,,Investment Banker
,,,,,8.77,Animation & Multimedia,0,,Python,,,,,,,,,,UI/UX Designer
,,,,,6.7,Agri-Business Management,1,,Photoshop,,,,,,,,,,Portfolio Manager
,,,,,9.47,Logistics & Supply Chain,1,,Scrum Master,,,,,,,,,,Business Analyst
,,,,,6.02,Petroleum Engineering,1,,Scrum Master,,,,,,,,,,Food Safety Officer
,,,,,6.28,Operations Management,0,,,,,,,,,,,,Sales Manager
,,,,,8.61,Economics,2,,CFA,,,,,,,,,,Content Writer
,,,,,9.05,Psychology,0,,Google Analytics,,,,,,,,,,Content Writer
,,,,,6.52,Information Technology,2,,AutoCAD,,,,,,,,,,Data Analyst
,,,,,7.69,Agriculture,0,,Google Analytics,,,,,,,,,,Microbiologist
,,,,,8.51,Accounting & Finance,0,,CFA,,,,,,,,,,Chartered Accountant
,,,,,6.46,UI/UX Design,0,,React,,,,,,,,,,Interior Architect
,,,,,9.87,Political Science,1,,Google Analytics,,,,,,,,,,Content Writer
,,,,,7.23,Fashion Design,0,,React,,,,,,,,,,Fashion Stylist
,,,,,8.31,Psychology,1,,Photoshop,,,,,,,,,,Psychologist
,,,,,8.22,Banking & Insurance,2,,Google Analytics,,,,,,,,,,Financial Auditor
,,,,,7.58,Chemistry,0,,AWS,,,,,,,,,,Lab Technician
,,,,,9.03,Computer Applications,1,,C++,,,,,,,,,,Chartered Accountant
,,,,,7.23,Food Technology,0,,CFA,,,,,,,,,,Automotive Design Engineer
,,,,,7.09,Biomedical Engineering,0,,,,,,,,,,,,Automotive Design Engineer
,,,,,6.38,Biomedical Engineering,2,,AWS,,,,,,,,,,Food Safety Officer
S359,21.0,Male,3.6,1360.0,8.5,Psychology,2,5.0,2,8.0,7.0,2.0,80000.0,7.0,3.0,Mid,6.0,No,
S267,24.0,Male,3.4,1240.0,7.5,Arts,1,3.0,1,6.0,5.0,1.0,52000.0,6.0,5.0,Entry,8.0,No,
S263,23.0,Male,3.6,1380.0,8.5,Marketing,3,6.0,3,8.0,7.0,3.0,88000.0,8.0,3.0,Mid,6.0,No,
,,,,,6.19,Artificial Intelligence (M.Sc),2,,Google Analytics,,,,,,,,,,Statistician
,,,,,10.0,Environmental Engineering,2,,Six Sigma,,,,,,,,,,Robotics Engineer
,,,,,8.73,Agri-Business Management,2,,AutoCAD,,,,,,,,,,Supply Chain Manager
,,,,,9.67,Aviation Management,1,,Python,,,,,,,,,,Hotel Manager
,,,,,9.05,Information Technology (M.Sc),2,,C++,,,,,,,,,,Senior Researcher
,,,,,8.53,Business Analytics,1,,Photoshop,,,,,,,,,,Chartered Accountant
,,,,,8.22,Accounting & Finance,2,,AWS,,,,,,,,,,Financial Auditor
,,,,,9.23,Accounting & Finance,1,,Photoshop,,,,,,,,,,Chartered Accountant
,,,,,9.94,Biotechnology (Masters),2,,React,,,,,,,,,,R&D Engineer
,,,,,6.34,Mechanical Engineering ,0,,CPA,,,,,,,,,,Site Supervisor
,,,,,8.83,Mechanical Design,1,,Google Analytics,,,,,,,,,,R&D Engineer
,,,,,6.6,Operations Management,2,,C++,,,,,,,,,,HR Generalist
,,,,,9.16,Operations Management (Advanced),2,,Google Analytics,,,,,,,,,,Investment Banker
,,,,,6.29,International Business (Advanced),2,,Photoshop,,,,,,,,,,Business Development Manager
,,,,,8.61,Agri-Business Management,1,,,,,,,,,,,,Supply Chain Manager
,,,,,7.45,Political Science,2,,Java,,,,,,,,,,Policy Analyst
,,,,,9.84,Food Science & Nutrition,0,,Google Analytics,,,,,,,,,,Senior Researcher
,,,,,7.74,Food Technology,2,,Java,,,,,,,,,,Biomedical Engineer
,,,,,8.89,Production Engineering,2,,CFA,,,,,,,,,,Project Manager
,,,,,9.56,Accounting & Finance,0,,PMP,,,,,,,,,,Chartered Accountant
,,,,,8.28,Financial Markets,1,,CPA,,,,,,,,,,Financial Auditor
,,,,,7.23,Marketing (Advanced),1,,Java,,,,,,,,,,HR Director
,,,,,6.42,Electrical & Electronics Engineering,2,,Google Analytics,,,,,,,,,,Maintenance Engineer
,,,,,9.38,Mining Engineering,1,,PMP,,,,,,,,,,Project Manager
,,,,,6.6,Business Analytics (Advanced),1,,AutoCAD,,,,,,,,,,HR Director
S092,24.0,Female,3.8,1500.0,9.25,Business,3,8.0,3,9.0,8.0,4.0,104000.0,9.0,2.0,Mid,6.0,No,
,,,,,9.69,Microbiology (M.Sc),2,,C++,,,,,,,,,,Senior Researcher
,,,,,6.9,Hospitality Management,0,,AWS,,,,,,,,,,Aviation Operations Manager
,,,,,8.47,Chemistry,1,,Python,,,,,,,,,,Lab Technician
,,,,,7.21,Finance (Advanced),0,,Scrum Master,,,,,,,,,,HR Director
,,,,,8.03,Power Systems,1,,PMP,,,,,,,,,,Senior Data Scientist
,,,,,7.12,Production Engineering,1,,Six Sigma,,,,,,,,,,Process Engineer
,,,,,9.42,Thermal Engineering,0,,React,,,,,,,,,,R&D Engineer
,,,,,8.96,Embedded Systems,0,,Scrum Master,,,,,,,,,,R&D Engineer
,,,,,7.6,Chemistry,1,,C++,,,,,,,,,,Lab Technician
,,,,,9.92,IT Management,2,,C++,,,,,,,,,,Investment Banker
,,,,,9.96,Hindi,2,,Scrum Master,,,,,,,,,,Content Writer
,,,,,9.19,AI & Machine Learning,2,,Six Sigma,,,,,,,,,,AI Engineer
,,,,,9.0,Human Resource (Advanced),2,,C++,,,,,,,,,,Investment Banker
,,,,,8.45,Chemistry (M.Sc),0,,AutoCAD,,,,,,,,,,Data Engineer
,,,,,7.18,Retail Management,0,,CPA,,,,,,,,,,Aviation Operations Manager
,,,,,8.76,Chemical Engineering,2,,Six Sigma,,,,,,,,,,Project Manager
S340,25.0,Female,3.5,1280.0,8.0,Law,2,6.0,2,7.0,6.0,2.0,76000.0,7.0,4.0,Mid,7.0,No,
,,,,,9.27,UI/UX Design,1,,C++,,,,,,,,,,UI/UX Designer
,,,,,9.66,Finance,1,,Six Sigma,,,,,,,,,,Business Analyst
,,,,,8.13,Digital Marketing,2,,Google Analytics,,,,,,,,,,Marketing Executive
,,,,,9.52,Agri-Business Management,1,,Photoshop,,,,,,,,,,Supply Chain Manager
,,,,,6.12,Political Science,1,,Photoshop,,,,,,,,,,Social Worker
,,,,,9.82,Computer Science (M.Sc),0,,C++,,,,,,,,,,Senior Researcher
,,,,,8.16,Civil Engineering,1,,Scrum Master,,,,,,,,,,Structural Engineer
,,,,,7.45,Mathematics,0,,C++,,,,,,,,,,Data Analyst
S243,23.0,Male,3.6,1360.0,8.5,Law,3,6.0,3,8.0,7.0,3.0,84000.0,8.0,3.0,Mid,6.0,No,
,,,,,7.83,Tamil,0,,AutoCAD,,,,,,,,,,Psychologist
,,,,,7.63,Operations Management,0,,AutoCAD,,,,,,,,,,Marketing Executive
,,,,,7.39,Aviation Management,1,,Photoshop,,,,,,,,,,Aviation Operations Manager
,,,,,8.68,Petroleum Engineering,0,,Scrum Master,,,,,,,,,,Robotics Engineer
S212,24.0,Female,3.8,1520.0,9.25,Marketing,3,8.0,3,9.0,8.0,4.0,102000.0,9.0,2.0,Mid,6.0,No,
,,,,,9.28,Microbiology (M.Sc),1,,,,,,,,,,,,Senior Researcher
,,,,,9.71,Accounting & Finance,2,,Six Sigma,,,,,,,,,,Chartered Accountant
,,,,,7.06,Product Design,2,,C++,,,,,,,,,,Fashion Stylist
,,,,,9.52,Biotechnology (M.Sc),2,,Photoshop,,,,,,,,,,Senior Researcher
,,,,,6.72,International Business (Advanced),2,,Photoshop,,,,,,,,,,HR Director
,,,,,6.42,Political Science,2,,Scrum Master,,,,,,,,,,Social Worker
,,,,,9.77,Forensic Science (M.Sc),2,,CFA,,,,,,,,,,Senior Researcher
,,,,,8.38,Statistics (M.Sc),1,,,,,,,,,,,,Data Engineer
,,,,,7.77,Geography,0,,PMP,,,,,,,,,,Psychologist
,,,,,6.46,Graphic Design,2,,AWS,,,,,,,,,,Interior Architect
S029,21.0,Male,3.6,1340.0,8.5,Business,2,6.0,2,8.0,7.0,2.0,78000.0,7.0,3.0,Mid,6.0,No,
,,,,,9.75,Fine Arts,0,,Scrum Master,,,,,,,,,,Journalist
,,,,,8.48,Biomedical Engineering,1,,,,,,,,,,,,Biomedical Engineer
,,,,,8.33,Travel & Tourism,0,,C++,,,,,,,,,,Retail Store Manager
,,,,,9.91,Healthcare Management (Advanced),1,,Scrum Master,,,,,,,,,,Supply Chain Manager
,,,,,9.63,Textile Design,0,,AWS,,,,,,,,,,UI/UX Designer
,,,,,6.94,Education,1,,Six Sigma,,,,,,,,,,Policy Analyst
,,,,,7.72,Sanskrit,1,,Photoshop,,,,,,,,,,Psychologist
,,,,,8.34,Jewellery Design,0,,Six Sigma,,,,,,,,,,Product Designer
S193,23.0,Male,3.5,1340.0,8.25,Engineering,2,6.0,2,7.0,6.0,2.0,78000.0,7.0,3.0,Mid,6.0,No,
,,,,,9.71,Finance,0,,,,,,,,,,,,Business Analyst
,,,,,7.03,Mechatronics Engineering,1,,CPA,,,,,,,,,,Automotive Design Engineer
,,,,,9.28,Environmental Engineering (Masters),0,,CPA,,,,,,,,,,R&D Engineer
,,,,,8.86,Auditing,0,,Six Sigma,,,,,,,,,,Chartered Accountant
,,,,,7.02,Performing Arts,0,,Google Analytics,,,,,,,,,,Art Director
,,,,,6.36,Psychology,1,,AWS,,,,,,,,,,Registered Nurse
,,,,,6.76,Aerospace Engineering,0,,Six Sigma,,,,,,,,,,Automotive Design Engineer
,,,,,9.37,Game Design,2,,Scrum Master,,,,,,,,,,UI/UX Designer
,,,,,8.16,Human Resource (Advanced),2,,CPA,,,,,,,,,,Product Manager
,,,,,8.51,Entrepreneurship,0,,CPA,,,,,,,,,,Business Analyst
,,,,,9.29,Artificial Intelligence,2,,PMP,,,,,,,,,,Software Developer
,,,,,8.5,Textile Engineering,1,,PMP,,,,,,,,,,Biomedical Engineer
,,,,,8.84,Metallurgical Engineering,0,,Google Analytics,,,,,,,,,,Project Manager
,,,,,7.71,Retail Management,2,,React,,,,,,,,,,Retail Store Manager
,,,,,9.5,Banking & Insurance,0,,AutoCAD,,,,,,,,,,Hotel Manager
,,,,,8.13,Microbiology,1,,Java,,,,,,,,,,Microbiologist
,,,,,8.12,Business Analytics,2,,Photoshop,,,,,,,,,,Financial Auditor
,,,,,6.17,Information Technology,1,,React,,,,,,,,,,System Engineer
,,,,,7.64,Electrical Engineering,0,,React,,,,,,,,,,Embedded Systems Engineer
,,,,,8.59,Computer Science (M.Sc),2,,Google Analytics,,,,,,,,,,Senior Researcher
,,,,,8.89,Microbiology (M.Sc),2,,,,,,,,,,,,Senior Researcher
,,,,,8.47,Accounting & Finance,0,,,,,,,,,,,,Financial Auditor
,,,,,8.66,Transportation Engineering,1,,PMP,,,,,,,,,,R&D Engineer
,,,,,8.86,Artificial Intelligence (Masters),1,,,,,,,,,,,,R&D Engineer
,,,,,8.45,Artificial Intelligence (M.Sc),2,,C++,,,,,,,,,,Data Engineer
,,,,,6.3,Robotics & Automation,1,,React,,,,,,,,,,Food Safety Officer
,,,,,9.82,Machine Learning,2,,C++,,,,,,,,,,R&D Engineer
,,,,,6.26,Finance,2,,,,,,,,,,,,Sales Manager
,,,,,9.43,Computer Science Engineering (Masters),1,,CFA,,,,,,,,,,R&D Engineer
,,,,,9.63,Cybersecurity (Masters),1,,Google Analytics,,,,,,,,,,R&D Engineer
,,,,,6.43,VLSI,1,,PMP,,,,,,,,,,Robotics System Architect
,,,,,6.95,Fashion Design,0,,Google Analytics,,,,,,,,,,Fashion Stylist
,,,,,7.96,Forensic Science (M.Sc),1,,PMP,,,,,,,,,,Data Engineer
,,,,,9.88,Metallurgical Engineering,1,,Six Sigma,,,,,,,,,,Project Manager
S083,23.0,Male,3.6,1380.0,8.5,Law,3,6.0,3,8.0,7.0,3.0,86000.0,8.0,3.0,Mid,6.0,No,
,,,,,9.44,Fine Arts,1,,Python,,,,,,,,,,Journalist
,,,,,9.69,Electrical & Electronics Engineering,1,,PMP,,,,,,,,,,VLSI Design Engineer
,,,,,9.28,Retail Management,0,,AutoCAD,,,,,,,,,,Hotel Manager
,,,,,9.54,Entrepreneurship,2,,AutoCAD,,,,,,,,,,Business Analyst
,,,,,8.26,Biotechnology,2,,Six Sigma,,,,,,,,,,Biomedical Engineer
,,,,,6.55,Nutrition & Dietetics,1,,Six Sigma,,,,,,,,,,Dietician
,,,,,7.17,Banking & Financial Services,2,,AutoCAD,,,,,,,,,,Portfolio Manager
,,,,,8.47,Electrical Engineering,1,,PMP,,,,,,,,,,Embedded Systems Engineer
,,,,,9.35,Biotechnology,2,,CPA,,,,,,,,,,Clinical Research Associate
,,,,,8.04,Electrical & Electronics Engineering,1,,AWS,,,,,,,,,,Embedded Systems Engineer
,,,,,7.72,Psychology,1,,C++,,,,,,,,,,Microbiologist
,,,,,9.44,Microbiology (M.Sc),0,,Google Analytics,,,,,,,,,,Senior Researcher
,,,,,7.9,International Business (Advanced),1,,,,,,,,,,,,Product Manager
,,,,,7.31,Agriculture Engineering,1,,Google Analytics,,,,,,,,,,Automotive Design Engineer
,,,,,6.91,Data Science (Masters),2,,PMP,,,,,,,,,,VLSI Architect
,,,,,8.05,Environmental Science (M.Sc),2,,AWS,,,,,,,,,,Data Engineer
,,,,,7.29,Computer Science Engineering (Masters),2,,C++,,,,,,,,,,VLSI Architect
